Rank,Category,Subtopic,Question_Type,Prompt,Question_ID,Style
Primary,Soteriology,Justification by Faith,objective,What is the core teaching of historic Christianity regarding justification by faith alone? Provide examples from Scripture and major confessional documents.,P_S_JBF_001,objective_v2
Tertiary,Angelology,Demonic Activity,objective,"How should a clear understanding of demonic activity and the powers of darkness inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",T_A_DA_003,objective_v2
Secondary,Baptism,Mode of Baptism,pastoral,A longtime church member tells you privately that they are having serious doubts about the proper mode of baptism. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,S_B_MOB_006,pastoral_v2
Primary,Hamartiology,Effects & Guilt of Sin,objective,What is the core teaching of historic Christianity regarding the effects and guilt of sin? Provide examples from Scripture and major confessional documents.,P_H_EGO_007,objective_v2
Primary,Trinitarianism,Distinction of Persons,pastoral,An atheist podcaster you are dialoguing with claims that the distinction of persons in the Trinity is one of the main reasons Christianity is harmful or incoherent. How do you engage their specific objection?,P_T_DOP_013,pastoral_v2
Primary,Christology,Hypostatic Union,objective,Why was it necessary for the Savior to be both fully God and fully man? What goes wrong soteriologically if either nature is denied or confused?,P_C_HU_HC06,hand_curated_precision_v2
Tertiary,Israelology,Role of Israel,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of the role of Israel in God's purposes. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",T_I_ROI_008,pastoral_v2
Secondary,Pneumatology (gifts),Continuation vs. Cessation,objective,Describe the historic confessional understanding of the continuation or cessation of spiritual gifts as articulated in the major creeds and Reformation confessions. Include key supporting texts.,S_PG_CVC_002,objective_v2
Tertiary,Ethics,Sanctification in Daily Life,pastoral,A parent in your congregation wants help explaining sanctification in everyday Christian life to their 10-year-old and 14-year-old children in age-appropriate ways without watering down the truth. What guidance and resources would you give?,T_E_SID_008,pastoral_v2
Secondary,Anthropology (roles),Image of God,objective,"How does the image of God in humanity fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",S_AR_IOG_001,objective_v2
Primary,Hamartiology,Origin of Sin,pastoral,"A faithful Christian friend from a different tradition (e.g., a Presbyterian talking to a Baptist, or vice versa) asks you why your church practices the origin of sin differently from theirs. How do you explain your position while maintaining genuine respect and unity in the gospel?",P_H_OOS_011,pastoral_v2
Tertiary,Creation,Timing & Mechanism,pastoral,A Christian is using their strong view on the timing and mechanism of creation to judge and divide from other believers who hold different but biblically defensible positions. How would you counsel them?,T_C_TM_009,adversarial_precision_v2
Tertiary,Creation,Timing & Mechanism,pastoral,A believer who struggles with assurance asks how the timing and mechanism of creation relates to their personal standing before God and their daily walk with Christ. What would you tell them?,T_C_TM_006,pastoral_v2
Tertiary,Covenantology,Covenant vs. Dispensationalism,pastoral,One of the young adults in your small group is dating a non-Christian and is being told that their differing views on covenant theology versus dispensationalism don't really matter 'as long as we love each other.' How should you address this situation?,T_C_CVD_006,pastoral_v2
Primary,Trinitarianism,Eternal Relations,pastoral,One of the young adults in your small group is dating a non-Christian and is being told that their differing views on the eternal relations within the Trinity don't really matter 'as long as we love each other.' How should you address this situation?,P_T_ER_013,pastoral_v2
Secondary,Pneumatology (gifts),Spiritual Gifts,pastoral,A believer who struggles with assurance asks how spiritual gifts relates to their personal standing before God and their daily walk with Christ. What would you tell them?,S_PG_SG_007,pastoral_v2
Tertiary,Covenantology,Old vs. New Covenant,pastoral,"A new believer who has been a Christian for only six weeks asks you to explain the relationship between the old and new covenants in simple terms. They say they have never heard this before. How would you respond, grounding your answer in Scripture?",T_C_OVN_004,pastoral_v2
Secondary,Anthropology (roles),Gender & Sexuality,pastoral,A believer who struggles with assurance asks how gender and human sexuality relates to their personal standing before God and their daily walk with Christ. What would you tell them?,S_AR_GS_010,pastoral_v2
Primary,Bibliology,Inspiration,objective,Explain the primary biblical basis for the inspiration of Scripture and its key implications for Christian belief and practice.,P_B_I_001,objective_v2
Secondary,Pneumatology (gifts),Spiritual Gifts,pastoral,"In a Bible study, someone asks how spiritual gifts should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",S_PG_SG_009,pastoral_v2
Tertiary,Creation,Timing & Mechanism,objective,What are the most common contemporary misconceptions or distortions of the timing and mechanism of creation? How would you correct each one from Scripture and historic Christian teaching?,T_C_TM_001,objective_v2
Primary,Hamartiology,Origin of Sin,pastoral,A new Christian has been reading popular books that treat the origin of sin as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,P_H_OOS_009,pastoral_v2
Primary,Prolegomena,Theological Method,objective,What is the core teaching of historic Christianity regarding theological method? Provide examples from Scripture and major confessional documents.,P_P_TM_002,objective_v2
Primary,Soteriology,Justification by Faith,objective,Why is justification by faith alone considered essential (or non-essential) to the gospel itself? How does it relate to the person and work of Christ?,P_S_JBF_007,objective_v2
Secondary,Pneumatology (gifts),Baptism & Filling of the Spirit,pastoral,Two mature Christians in your church hold different but orthodox views on baptism and filling with the Holy Spirit. One is insisting the other is not a 'real' Christian because of it. How do you address this as a leader?,S_PG_BFO_014,adversarial_precision_v2
